File,Frequency,BlockFrequency,CumulativeSums,CumulativeSums,Runs,LongestRun,Rank,FFT,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,OverlappingTemplate,Universal,ApproximateEntropy,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,Serial,Serial,LinearComplexity
Result0Dec,0.604458,0.091517,0.451991,0.550134,0.253565,0.482467,0.577829,0.462869,0.840528,0.807429,0.654864,0.619056,0.943556,0.997142,0.795518,0.686592,0.916802,0.304003,0.285036,0.535886,0.236735,0.919480,0.023086,0.676075,0.255630,0.970279,0.433946,0.089125,0.217223,0.165502,0.923270,0.181236,0.773322,0.869148,0.952351,0.605820,0.094670,0.287082,0.704712,0.948348,0.588284,0.693665,0.744732,0.829123,0.849111,0.685058,0.657948,0.099199,0.551036,0.767623,0.224843,0.488324,0.546660,0.235104,0.995279,0.733120,0.572374,0.661505,0.383095,0.310467,0.715708,0.524508,0.789210,0.250962,0.748047,0.065278,0.900009,0.529390,0.274814,0.677140,0.303756,0.589810,0.118399,0.028970,0.760649,0.781746,0.597923,0.977076,0.930369,0.680450,0.902775,0.348204,0.840528,0.467108,0.363516,0.990615,0.323085,0.971872,0.585234,0.510307,0.090506,0.347210,0.568646,0.112848,0.623200,0.055866,0.496933,0.825431,0.529162,0.414527,0.134734,0.678322,0.077913,0.850572,0.817235,0.518967,0.193729,0.614088,0.248829,0.644898,0.134606,0.964527,0.854057,0.517276,0.731849,0.268078,0.614443,0.193323,0.021765,0.696843,0.135421,0.675247,0.983965,0.397393,0.618465,0.030318,0.730809,0.997207,0.839031,0.881788,0.529958,0.197122,0.391615,0.760988,0.509859,0.095491,0.664943,0.238170,0.576225,0.611606,0.902613,0.338534,0.264571,0.439140,0.003088,0.486895,0.963813,0.985903,0.973850,0.538286,0.205266,0.092521,0.509859,0.254187,0.518291,0.348204,0.399059,0.978453,0.195214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result0Enc,0.085070,0.195933,0.031993,0.148522,0.240808,0.203553,0.300130,0.883269,0.002498,0.593687,0.827178,0.970914,0.654033,0.782738,0.878232,0.155225,0.077808,0.185232,0.985024,0.297312,0.433946,0.272681,0.839031,0.421317,0.559473,0.052557,0.523602,0.144080,0.561791,0.098970,0.896125,0.425094,0.712672,0.207712,0.002932,0.793566,0.678086,0.984600,0.669209,0.340133,0.177367,0.932342,0.153925,0.525982,0.928783,0.090718,0.842319,0.777323,0.719204,0.063410,0.902451,0.529617,0.184561,0.849013,0.889960,0.170825,0.308551,0.795409,0.138768,0.585938,0.932139,0.623437,0.330617,0.754310,0.342809,0.885732,0.284957,0.805086,0.796275,0.860078,0.866277,0.651304,0.357781,0.603932,0.310467,0.013286,0.735312,0.545970,0.072264,0.625450,0.191878,0.006194,0.002498,0.905584,0.139605,0.062192,0.508739,0.798003,0.909373,0.184059,0.911318,0.732312,0.796491,0.212175,0.846073,0.294730,0.958124,0.613379,0.449521,0.118975,0.207774,0.373838,0.997180,0.125349,0.190671,0.532235,0.181622,0.451211,0.128646,0.440704,0.501931,0.159527,0.485798,0.960124,0.792371,0.832280,0.638728,0.579965,0.930506,0.574824,0.515136,0.450789,0.658896,0.456195,0.799727,0.507956,0.643948,0.218564,0.355851,0.108090,0.009417,0.308551,0.424480,0.386953,0.956865,0.166474,0.261614,0.709047,0.829225,0.810187,0.335528,0.329745,0.982058,0.969115,0.405607,0.303428,0.262941,0.771984,0.893696,0.456940,0.245096,0.296665,0.480656,0.238170,0.826356,0.006194,0.087744,0.009733,0.681106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result1Dec,0.604458,0.091517,0.451991,0.550134,0.253565,0.482467,0.577829,0.462869,0.840528,0.807429,0.654864,0.619056,0.943556,0.997142,0.795518,0.686592,0.916802,0.304003,0.285036,0.535886,0.236735,0.919480,0.023086,0.676075,0.255630,0.970279,0.433946,0.089125,0.217223,0.165502,0.923270,0.181236,0.773322,0.869148,0.952351,0.605820,0.094670,0.287082,0.704712,0.948348,0.588284,0.693665,0.744732,0.829123,0.849111,0.685058,0.657948,0.099199,0.551036,0.767623,0.224843,0.488324,0.546660,0.235104,0.995279,0.733120,0.572374,0.661505,0.383095,0.310467,0.715708,0.524508,0.789210,0.250962,0.748047,0.065278,0.900009,0.529390,0.274814,0.677140,0.303756,0.589810,0.118399,0.028970,0.760649,0.781746,0.597923,0.977076,0.930369,0.680450,0.902775,0.348204,0.840528,0.467108,0.363516,0.990615,0.323085,0.971872,0.585234,0.510307,0.090506,0.347210,0.568646,0.112848,0.623200,0.055866,0.496933,0.825431,0.529162,0.414527,0.134734,0.678322,0.077913,0.850572,0.817235,0.518967,0.193729,0.614088,0.248829,0.644898,0.134606,0.964527,0.854057,0.517276,0.731849,0.268078,0.614443,0.193323,0.021765,0.696843,0.135421,0.675247,0.983965,0.397393,0.618465,0.030318,0.730809,0.997207,0.839031,0.881788,0.529958,0.197122,0.391615,0.760988,0.509859,0.095491,0.664943,0.238170,0.576225,0.611606,0.902613,0.338534,0.264571,0.439140,0.003088,0.486895,0.963813,0.985903,0.973850,0.538286,0.205266,0.092521,0.509859,0.254187,0.518291,0.348204,0.399059,0.978453,0.195214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result1Enc,0.085070,0.195933,0.031993,0.148522,0.240808,0.203553,0.300130,0.883269,0.002498,0.593687,0.827178,0.970914,0.654033,0.782738,0.878232,0.155225,0.077808,0.185232,0.985024,0.297312,0.433946,0.272681,0.839031,0.421317,0.559473,0.052557,0.523602,0.144080,0.561791,0.098970,0.896125,0.425094,0.712672,0.207712,0.002932,0.793566,0.678086,0.984600,0.669209,0.340133,0.177367,0.932342,0.153925,0.525982,0.928783,0.090718,0.842319,0.777323,0.719204,0.063410,0.902451,0.529617,0.184561,0.849013,0.889960,0.170825,0.308551,0.795409,0.138768,0.585938,0.932139,0.623437,0.330617,0.754310,0.342809,0.885732,0.284957,0.805086,0.796275,0.860078,0.866277,0.651304,0.357781,0.603932,0.310467,0.013286,0.735312,0.545970,0.072264,0.625450,0.191878,0.006194,0.002498,0.905584,0.139605,0.062192,0.508739,0.798003,0.909373,0.184059,0.911318,0.732312,0.796491,0.212175,0.846073,0.294730,0.958124,0.613379,0.449521,0.118975,0.207774,0.373838,0.997180,0.125349,0.190671,0.532235,0.181622,0.451211,0.128646,0.440704,0.501931,0.159527,0.485798,0.960124,0.792371,0.832280,0.638728,0.579965,0.930506,0.574824,0.515136,0.450789,0.658896,0.456195,0.799727,0.507956,0.643948,0.218564,0.355851,0.108090,0.009417,0.308551,0.424480,0.386953,0.956865,0.166474,0.261614,0.709047,0.829225,0.810187,0.335528,0.329745,0.982058,0.969115,0.405607,0.303428,0.262941,0.771984,0.893696,0.456940,0.245096,0.296665,0.480656,0.238170,0.826356,0.006194,0.087744,0.009733,0.681106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result2Dec,0.801041,0.031617,0.604715,0.624655,0.601715,0.397782,0.745906,0.403676,0.789865,0.814405,0.269204,0.245236,0.769415,0.997189,0.277497,0.530527,0.871536,0.666839,0.261025,0.628768,0.608771,0.257807,0.020825,0.559589,0.633154,0.974671,0.814090,0.298853,0.165655,0.975286,0.922404,0.476191,0.485140,0.593217,0.935806,0.212864,0.020104,0.713373,0.205144,0.720601,0.258536,0.575758,0.830347,0.772430,0.886861,0.650474,0.622726,0.126602,0.485798,0.686238,0.314746,0.810822,0.453859,0.592159,0.548386,0.870804,0.408801,0.090991,0.473912,0.276959,0.719437,0.505163,0.770086,0.639322,0.444786,0.010369,0.677258,0.270712,0.679387,0.505609,0.228865,0.880460,0.136803,0.085985,0.829735,0.507173,0.675247,0.333066,0.766053,0.887639,0.937954,0.317368,0.789865,0.522583,0.676548,0.925202,0.245376,0.799620,0.411910,0.644898,0.370440,0.304085,0.660082,0.062864,0.306230,0.298041,0.404215,0.756011,0.406006,0.844398,0.549077,0.178395,0.018508,0.926828,0.887812,0.281209,0.339066,0.293686,0.193439,0.989383,0.073434,0.670985,0.641457,0.757597,0.145446,0.312979,0.500485,0.014414,0.013322,0.964385,0.104501,0.933217,0.924347,0.731387,0.407802,0.004085,0.662691,0.935345,0.672998,0.533375,0.702131,0.383287,0.687182,0.448467,0.409702,0.032556,0.983848,0.437474,0.832381,0.909998,0.843409,0.279735,0.485250,0.592629,0.008827,0.463456,0.945921,0.932004,0.840030,0.291925,0.284252,0.152159,0.168637,0.172033,0.408201,0.317368,0.929673,0.627398,0.600256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result2Enc,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.732141,0.000000,0.000000,0.000001,0.000000,0.005650,0.000000,0.000076,0.001300,0.191762,0.000000,0.000003,0.000102,0.549883,0.000000,0.197534,0.039145,0.000721,0.000324,0.000368,0.249255,0.000000,0.045688,0.000713,0.010650,0.004741,0.006234,0.000085,0.102358,0.234968,0.938019,0.000000,0.000231,0.000001,0.377543,0.266656,0.003307,0.476191,0.001584,0.142545,0.724320,0.685058,0.367623,0.000000,0.008976,0.433325,0.654982,0.932679,0.000000,0.184505,0.000000,0.000001,0.000000,0.000000,0.001353,0.919774,0.008150,0.142770,0.043932,0.455026,0.731272,0.000000,0.415436,0.629479,0.670275,0.000000,0.471423,0.000004,0.000052,0.000000,0.400251,0.000000,0.002545,0.000000,0.000000,0.000000,0.000000,0.000002,0.000000,0.000044,0.000026,0.000060,0.000000,0.005645,0.000003,0.000296,0.000005,0.065526,0.004337,0.659371,0.000000,0.226353,0.010795,0.025463,0.033469,0.340489,0.679859,0.000000,0.000000,0.000000,0.001359,0.000278,0.001442,0.000339,0.066048,0.145218,0.493614,0.728958,0.000896,0.493503,0.038614,0.054417,0.699900,0.311554,0.044707,0.136024,0.955693,0.108622,0.000386,0.000001,0.002239,0.477061,0.513113,0.312224,0.011653,0.305321,0.130676,0.421419,0.971333,0.328788,0.000208,0.158000,0.000019,0.000000,0.862816,0.045332,0.578912,0.000001,0.000021,0.000000,0.000000,0.000000,0.000037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result3Dec,0.604458,0.091517,0.451991,0.550134,0.253565,0.482467,0.577829,0.462869,0.840528,0.807429,0.654864,0.619056,0.943556,0.997142,0.795518,0.686592,0.916802,0.304003,0.285036,0.535886,0.236735,0.919480,0.023086,0.676075,0.255630,0.970279,0.433946,0.089125,0.217223,0.165502,0.923270,0.181236,0.773322,0.869148,0.952351,0.605820,0.094670,0.287082,0.704712,0.948348,0.588284,0.693665,0.744732,0.829123,0.849111,0.685058,0.657948,0.099199,0.551036,0.767623,0.224843,0.488324,0.546660,0.235104,0.995279,0.733120,0.572374,0.661505,0.383095,0.310467,0.715708,0.524508,0.789210,0.250962,0.748047,0.065278,0.900009,0.529390,0.274814,0.677140,0.303756,0.589810,0.118399,0.028970,0.760649,0.781746,0.597923,0.977076,0.930369,0.680450,0.902775,0.348204,0.840528,0.467108,0.363516,0.990615,0.323085,0.971872,0.585234,0.510307,0.090506,0.347210,0.568646,0.112848,0.623200,0.055866,0.496933,0.825431,0.529162,0.414527,0.134734,0.678322,0.077913,0.850572,0.817235,0.518967,0.193729,0.614088,0.248829,0.644898,0.134606,0.964527,0.854057,0.517276,0.731849,0.268078,0.614443,0.193323,0.021765,0.696843,0.135421,0.675247,0.983965,0.397393,0.618465,0.030318,0.730809,0.997207,0.839031,0.881788,0.529958,0.197122,0.391615,0.760988,0.509859,0.095491,0.664943,0.238170,0.576225,0.611606,0.902613,0.338534,0.264571,0.439140,0.003088,0.486895,0.963813,0.985903,0.973850,0.538286,0.205266,0.092521,0.509859,0.254187,0.518291,0.348204,0.399059,0.978453,0.195214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result3Enc,0.085070,0.195933,0.031993,0.148522,0.240808,0.203553,0.300130,0.883269,0.002498,0.593687,0.827178,0.970914,0.654033,0.782738,0.878232,0.155225,0.077808,0.185232,0.985024,0.297312,0.433946,0.272681,0.839031,0.421317,0.559473,0.052557,0.523602,0.144080,0.561791,0.098970,0.896125,0.425094,0.712672,0.207712,0.002932,0.793566,0.678086,0.984600,0.669209,0.340133,0.177367,0.932342,0.153925,0.525982,0.928783,0.090718,0.842319,0.777323,0.719204,0.063410,0.902451,0.529617,0.184561,0.849013,0.889960,0.170825,0.308551,0.795409,0.138768,0.585938,0.932139,0.623437,0.330617,0.754310,0.342809,0.885732,0.284957,0.805086,0.796275,0.860078,0.866277,0.651304,0.357781,0.603932,0.310467,0.013286,0.735312,0.545970,0.072264,0.625450,0.191878,0.006194,0.002498,0.905584,0.139605,0.062192,0.508739,0.798003,0.909373,0.184059,0.911318,0.732312,0.796491,0.212175,0.846073,0.294730,0.958124,0.613379,0.449521,0.118975,0.207774,0.373838,0.997180,0.125349,0.190671,0.532235,0.181622,0.451211,0.128646,0.440704,0.501931,0.159527,0.485798,0.960124,0.792371,0.832280,0.638728,0.579965,0.930506,0.574824,0.515136,0.450789,0.658896,0.456195,0.799727,0.507956,0.643948,0.218564,0.355851,0.108090,0.009417,0.308551,0.424480,0.386953,0.956865,0.166474,0.261614,0.709047,0.829225,0.810187,0.335528,0.329745,0.982058,0.969115,0.405607,0.303428,0.262941,0.771984,0.893696,0.456940,0.245096,0.296665,0.480656,0.238170,0.826356,0.006194,0.087744,0.009733,0.681106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result4Dec,0.604458,0.091517,0.451991,0.550134,0.253565,0.482467,0.577829,0.462869,0.840528,0.807429,0.654864,0.619056,0.943556,0.997142,0.795518,0.686592,0.916802,0.304003,0.285036,0.535886,0.236735,0.919480,0.023086,0.676075,0.255630,0.970279,0.433946,0.089125,0.217223,0.165502,0.923270,0.181236,0.773322,0.869148,0.952351,0.605820,0.094670,0.287082,0.704712,0.948348,0.588284,0.693665,0.744732,0.829123,0.849111,0.685058,0.657948,0.099199,0.551036,0.767623,0.224843,0.488324,0.546660,0.235104,0.995279,0.733120,0.572374,0.661505,0.383095,0.310467,0.715708,0.524508,0.789210,0.250962,0.748047,0.065278,0.900009,0.529390,0.274814,0.677140,0.303756,0.589810,0.118399,0.028970,0.760649,0.781746,0.597923,0.977076,0.930369,0.680450,0.902775,0.348204,0.840528,0.467108,0.363516,0.990615,0.323085,0.971872,0.585234,0.510307,0.090506,0.347210,0.568646,0.112848,0.623200,0.055866,0.496933,0.825431,0.529162,0.414527,0.134734,0.678322,0.077913,0.850572,0.817235,0.518967,0.193729,0.614088,0.248829,0.644898,0.134606,0.964527,0.854057,0.517276,0.731849,0.268078,0.614443,0.193323,0.021765,0.696843,0.135421,0.675247,0.983965,0.397393,0.618465,0.030318,0.730809,0.997207,0.839031,0.881788,0.529958,0.197122,0.391615,0.760988,0.509859,0.095491,0.664943,0.238170,0.576225,0.611606,0.902613,0.338534,0.264571,0.439140,0.003088,0.486895,0.963813,0.985903,0.973850,0.538286,0.205266,0.092521,0.509859,0.254187,0.518291,0.348204,0.399059,0.978453,0.195214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result4Enc,0.085070,0.195933,0.031993,0.148522,0.240808,0.203553,0.300130,0.883269,0.002498,0.593687,0.827178,0.970914,0.654033,0.782738,0.878232,0.155225,0.077808,0.185232,0.985024,0.297312,0.433946,0.272681,0.839031,0.421317,0.559473,0.052557,0.523602,0.144080,0.561791,0.098970,0.896125,0.425094,0.712672,0.207712,0.002932,0.793566,0.678086,0.984600,0.669209,0.340133,0.177367,0.932342,0.153925,0.525982,0.928783,0.090718,0.842319,0.777323,0.719204,0.063410,0.902451,0.529617,0.184561,0.849013,0.889960,0.170825,0.308551,0.795409,0.138768,0.585938,0.932139,0.623437,0.330617,0.754310,0.342809,0.885732,0.284957,0.805086,0.796275,0.860078,0.866277,0.651304,0.357781,0.603932,0.310467,0.013286,0.735312,0.545970,0.072264,0.625450,0.191878,0.006194,0.002498,0.905584,0.139605,0.062192,0.508739,0.798003,0.909373,0.184059,0.911318,0.732312,0.796491,0.212175,0.846073,0.294730,0.958124,0.613379,0.449521,0.118975,0.207774,0.373838,0.997180,0.125349,0.190671,0.532235,0.181622,0.451211,0.128646,0.440704,0.501931,0.159527,0.485798,0.960124,0.792371,0.832280,0.638728,0.579965,0.930506,0.574824,0.515136,0.450789,0.658896,0.456195,0.799727,0.507956,0.643948,0.218564,0.355851,0.108090,0.009417,0.308551,0.424480,0.386953,0.956865,0.166474,0.261614,0.709047,0.829225,0.810187,0.335528,0.329745,0.982058,0.969115,0.405607,0.303428,0.262941,0.771984,0.893696,0.456940,0.245096,0.296665,0.480656,0.238170,0.826356,0.006194,0.087744,0.009733,0.681106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
