Config file: Conf.ini 
Using binary neurons
Number,NCC-Alice Bob(%),NCC-Alice Original(%),NCC-Bob Original(%),Alice Name,Bob Name
0,7.325253,7.325253,100.000000,U2-Trial2/e.bin/Result0Enc.bin,U2-Trial2/e.bin/Result0Dec.bin
1,7.325253,7.325253,100.000000,U2-Trial2/e.bin/Result1Enc.bin,U2-Trial2/e.bin/Result1Dec.bin
2,7.325253,7.325253,100.000000,U2-Trial2/e.bin/Result2Enc.bin,U2-Trial2/e.bin/Result2Dec.bin
3,6.603829,5.101986,48.377018,U2-Trial2/e.bin/Result3Enc.bin,U2-Trial2/e.bin/Result3Dec.bin
4,7.333232,7.333458,99.999931,U2-Trial2/e.bin/Result4Enc.bin,U2-Trial2/e.bin/Result4Dec.bin
5,7.325253,7.325253,100.000000,U2-Trial2/e.bin/Result5Enc.bin,U2-Trial2/e.bin/Result5Dec.bin
6,6.603829,5.101986,48.377018,U2-Trial2/e.bin/Result6Enc.bin,U2-Trial2/e.bin/Result6Dec.bin
7,7.325253,7.325253,100.000000,U2-Trial2/e.bin/Result7Enc.bin,U2-Trial2/e.bin/Result7Dec.bin
8,7.325253,7.325253,100.000000,U2-Trial2/e.bin/Result8Enc.bin,U2-Trial2/e.bin/Result8Dec.bin
9,7.325253,7.325253,100.000000,U2-Trial2/e.bin/Result9Enc.bin,U2-Trial2/e.bin/Result9Dec.bin
10,7.325253,7.325253,100.000000,U2-Trial2/e.bin/Result10Enc.bin,U2-Trial2/e.bin/Result10Dec.bin
11,7.325253,7.325253,100.000000,U2-Trial2/e.bin/Result11Enc.bin,U2-Trial2/e.bin/Result11Dec.bin
12,7.325253,7.325253,100.000000,U2-Trial2/e.bin/Result12Enc.bin,U2-Trial2/e.bin/Result12Dec.bin
13,7.325253,7.325253,100.000000,U2-Trial2/e.bin/Result13Enc.bin,U2-Trial2/e.bin/Result13Dec.bin
14,7.325253,7.325253,100.000000,U2-Trial2/e.bin/Result14Enc.bin,U2-Trial2/e.bin/Result14Dec.bin
15,7.325253,7.325253,100.000000,U2-Trial2/e.bin/Result15Enc.bin,U2-Trial2/e.bin/Result15Dec.bin
16,7.325253,7.325253,100.000000,U2-Trial2/e.bin/Result16Enc.bin,U2-Trial2/e.bin/Result16Dec.bin
17,7.325253,7.325253,100.000000,U2-Trial2/e.bin/Result17Enc.bin,U2-Trial2/e.bin/Result17Dec.bin
18,7.325253,7.325253,100.000000,U2-Trial2/e.bin/Result18Enc.bin,U2-Trial2/e.bin/Result18Dec.bin
19,7.325253,7.325253,100.000000,U2-Trial2/e.bin/Result19Enc.bin,U2-Trial2/e.bin/Result19Dec.bin
20,2.948694,1.054376,36.079838,U2-Trial2/e.bin/Result20Enc.bin,U2-Trial2/e.bin/Result20Dec.bin
21,7.325253,7.325253,100.000000,U2-Trial2/e.bin/Result21Enc.bin,U2-Trial2/e.bin/Result21Dec.bin
22,7.325253,7.325253,100.000000,U2-Trial2/e.bin/Result22Enc.bin,U2-Trial2/e.bin/Result22Dec.bin
23,6.603829,5.101986,48.377018,U2-Trial2/e.bin/Result23Enc.bin,U2-Trial2/e.bin/Result23Dec.bin
24,7.325253,7.325253,100.000000,U2-Trial2/e.bin/Result24Enc.bin,U2-Trial2/e.bin/Result24Dec.bin
25,7.325253,7.325253,100.000000,U2-Trial2/e.bin/Result25Enc.bin,U2-Trial2/e.bin/Result25Dec.bin
26,3.160387,1.054376,35.964603,U2-Trial2/e.bin/Result26Enc.bin,U2-Trial2/e.bin/Result26Dec.bin
27,7.325737,7.325277,99.999985,U2-Trial2/e.bin/Result27Enc.bin,U2-Trial2/e.bin/Result27Dec.bin
28,7.325253,7.325253,100.000000,U2-Trial2/e.bin/Result28Enc.bin,U2-Trial2/e.bin/Result28Dec.bin
29,6.894140,7.325253,68.140022,U2-Trial2/e.bin/Result29Enc.bin,U2-Trial2/e.bin/Result29Dec.bin
30,6.223748,7.325253,43.418877,U2-Trial2/e.bin/Result30Enc.bin,U2-Trial2/e.bin/Result30Dec.bin
31,3.387063,2.106228,35.508476,U2-Trial2/e.bin/Result31Enc.bin,U2-Trial2/e.bin/Result31Dec.bin
32,7.325253,7.325253,100.000000,U2-Trial2/e.bin/Result32Enc.bin,U2-Trial2/e.bin/Result32Dec.bin
33,7.325253,7.325253,100.000000,U2-Trial2/e.bin/Result33Enc.bin,U2-Trial2/e.bin/Result33Dec.bin
34,7.325253,7.325253,100.000000,U2-Trial2/e.bin/Result34Enc.bin,U2-Trial2/e.bin/Result34Dec.bin
35,7.325253,7.325253,100.000000,U2-Trial2/e.bin/Result35Enc.bin,U2-Trial2/e.bin/Result35Dec.bin
36,6.655958,5.101986,48.241283,U2-Trial2/e.bin/Result36Enc.bin,U2-Trial2/e.bin/Result36Dec.bin
37,7.325253,7.325253,100.000000,U2-Trial2/e.bin/Result37Enc.bin,U2-Trial2/e.bin/Result37Dec.bin
38,7.325782,7.325257,99.999992,U2-Trial2/e.bin/Result38Enc.bin,U2-Trial2/e.bin/Result38Dec.bin
39,4.621198,7.325253,29.738432,U2-Trial2/e.bin/Result39Enc.bin,U2-Trial2/e.bin/Result39Dec.bin
