File,Frequency,BlockFrequency,CumulativeSums,CumulativeSums,Runs,LongestRun,Rank,FFT,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,OverlappingTemplate,Universal,ApproximateEntropy,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,Serial,Serial,LinearComplexity
Result0Dec,0.610051,0.473961,0.917794,0.688582,0.171393,0.327667,0.314498,0.646355,0.388019,0.334647,0.898941,0.062755,0.550459,0.612433,0.838030,0.485030,0.695784,0.891495,0.295616,0.957497,0.290888,0.753060,0.065391,0.839830,0.716408,0.846368,0.116385,0.712672,0.203991,0.117179,0.501041,0.437370,0.188162,0.238307,0.638966,0.645491,0.337914,0.524622,0.132185,0.783509,0.820050,0.569228,0.000561,0.734966,0.978959,0.140047,0.992877,0.080380,0.206976,0.033070,0.109692,0.706236,0.053847,0.275808,0.273441,0.097895,0.754650,0.145218,0.151306,0.610779,0.780642,0.102966,0.215193,0.079165,0.127539,0.324375,0.389474,0.834002,0.004242,0.758503,0.606646,0.805939,0.861403,0.084523,0.063366,0.858083,0.375830,0.259632,0.575291,0.076993,0.266581,0.190728,0.388019,0.234089,0.161715,0.406604,0.953957,0.312476,0.153781,0.739456,0.162316,0.746219,0.773656,0.080652,0.133073,0.083365,0.007883,0.632206,0.716408,0.199668,0.012840,0.601574,0.215319,0.745076,0.852803,0.323687,0.967387,0.756351,0.181291,0.907725,0.488104,0.822126,0.678086,0.658422,0.379260,0.151826,0.819946,0.194020,0.588166,0.287477,0.033763,0.645491,0.251033,0.176450,0.513113,0.186579,0.414124,0.355393,0.848818,0.802841,0.342451,0.755331,0.311638,0.441853,0.903179,0.313652,0.508068,0.920363,0.470450,0.400449,0.869148,0.704478,0.923126,0.414527,0.014838,0.829021,0.597334,0.544017,0.731965,0.739571,0.411307,0.569461,0.354569,0.566901,0.884161,0.190728,0.088249,0.923756,0.218536,0.926154,0.669371,0.551317,0.455820,0.651190,0.493614,0.574639,0.183223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result0Enc,0.849309,0.932069,0.930090,0.776553,0.514424,0.107362,0.926854,0.956091,0.577159,0.838130,0.856650,0.132312,0.216206,0.829837,0.850961,0.256427,0.114140,0.844101,0.986037,0.797680,0.568646,0.105051,0.136977,0.232539,0.276268,0.368279,0.417864,0.122323,0.910387,0.455664,0.645609,0.384250,0.617873,0.696255,0.356861,0.426323,0.475974,0.723159,0.923989,0.120328,0.532463,0.539087,0.177908,0.248334,0.816712,0.529731,0.562371,0.249610,0.050204,0.358609,0.465925,0.173619,0.491076,0.272378,0.867947,0.632799,0.964621,0.786584,0.502487,0.942260,0.233077,0.087410,0.227144,0.628887,0.868502,0.126197,0.605348,0.357321,0.831264,0.966526,0.306809,0.707291,0.342898,0.931053,0.767175,0.175752,0.262720,0.132312,0.927460,0.894116,0.950429,0.963622,0.577159,0.290569,0.349743,0.046939,0.087323,0.061059,0.736119,0.529958,0.239956,0.785377,0.452587,0.075028,0.982462,0.967252,0.179157,0.349652,0.387340,0.242793,0.724320,0.794759,0.567134,0.852609,0.714891,0.794651,0.362216,0.581135,0.150504,0.138724,0.890729,0.188162,0.351559,0.657948,0.743931,0.770198,0.483388,0.762567,0.321713,0.177583,0.303181,0.061741,0.121302,0.140846,0.467000,0.105362,0.172718,0.994604,0.444576,0.973691,0.335352,0.260438,0.026276,0.424174,0.591806,0.544017,0.070917,0.367997,0.090446,0.472937,0.632680,0.068832,0.023642,0.353381,0.478476,0.559705,0.396017,0.426118,0.014452,0.858939,0.269505,0.621661,0.541149,0.486566,0.779648,0.963622,0.451974,0.309991,0.011918,0.452140,0.218810,0.035934,0.019623,0.295623,0.714108,0.994814,0.201534,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result1Dec,0.610051,0.473961,0.917794,0.688582,0.171393,0.327667,0.314498,0.646355,0.388019,0.334647,0.898941,0.062755,0.550459,0.612433,0.838030,0.485030,0.695784,0.891495,0.295616,0.957497,0.290888,0.753060,0.065391,0.839830,0.716408,0.846368,0.116385,0.712672,0.203991,0.117179,0.501041,0.437370,0.188162,0.238307,0.638966,0.645491,0.337914,0.524622,0.132185,0.783509,0.820050,0.569228,0.000561,0.734966,0.978959,0.140047,0.992877,0.080380,0.206976,0.033070,0.109692,0.706236,0.053847,0.275808,0.273441,0.097895,0.754650,0.145218,0.151306,0.610779,0.780642,0.102966,0.215193,0.079165,0.127539,0.324375,0.389474,0.834002,0.004242,0.758503,0.606646,0.805939,0.861403,0.084523,0.063366,0.858083,0.375830,0.259632,0.575291,0.076993,0.266581,0.190728,0.388019,0.234089,0.161715,0.406604,0.953957,0.312476,0.153781,0.739456,0.162316,0.746219,0.773656,0.080652,0.133073,0.083365,0.007883,0.632206,0.716408,0.199668,0.012840,0.601574,0.215319,0.745076,0.852803,0.323687,0.967387,0.756351,0.181291,0.907725,0.488104,0.822126,0.678086,0.658422,0.379260,0.151826,0.819946,0.194020,0.588166,0.287477,0.033763,0.645491,0.251033,0.176450,0.513113,0.186579,0.414124,0.355393,0.848818,0.802841,0.342451,0.755331,0.311638,0.441853,0.903179,0.313652,0.508068,0.920363,0.470450,0.400449,0.869148,0.704478,0.923126,0.414527,0.014838,0.829021,0.597334,0.544017,0.731965,0.739571,0.411307,0.569461,0.354569,0.566901,0.884161,0.190728,0.088249,0.923756,0.218536,0.926154,0.669371,0.551317,0.455820,0.651190,0.493614,0.574639,0.183223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result1Enc,0.849309,0.932069,0.930090,0.776553,0.514424,0.107362,0.926854,0.956091,0.577159,0.838130,0.856650,0.132312,0.216206,0.829837,0.850961,0.256427,0.114140,0.844101,0.986037,0.797680,0.568646,0.105051,0.136977,0.232539,0.276268,0.368279,0.417864,0.122323,0.910387,0.455664,0.645609,0.384250,0.617873,0.696255,0.356861,0.426323,0.475974,0.723159,0.923989,0.120328,0.532463,0.539087,0.177908,0.248334,0.816712,0.529731,0.562371,0.249610,0.050204,0.358609,0.465925,0.173619,0.491076,0.272378,0.867947,0.632799,0.964621,0.786584,0.502487,0.942260,0.233077,0.087410,0.227144,0.628887,0.868502,0.126197,0.605348,0.357321,0.831264,0.966526,0.306809,0.707291,0.342898,0.931053,0.767175,0.175752,0.262720,0.132312,0.927460,0.894116,0.950429,0.963622,0.577159,0.290569,0.349743,0.046939,0.087323,0.061059,0.736119,0.529958,0.239956,0.785377,0.452587,0.075028,0.982462,0.967252,0.179157,0.349652,0.387340,0.242793,0.724320,0.794759,0.567134,0.852609,0.714891,0.794651,0.362216,0.581135,0.150504,0.138724,0.890729,0.188162,0.351559,0.657948,0.743931,0.770198,0.483388,0.762567,0.321713,0.177583,0.303181,0.061741,0.121302,0.140846,0.467000,0.105362,0.172718,0.994604,0.444576,0.973691,0.335352,0.260438,0.026276,0.424174,0.591806,0.544017,0.070917,0.367997,0.090446,0.472937,0.632680,0.068832,0.023642,0.353381,0.478476,0.559705,0.396017,0.426118,0.014452,0.858939,0.269505,0.621661,0.541149,0.486566,0.779648,0.963622,0.451974,0.309991,0.011918,0.452140,0.218810,0.035934,0.019623,0.295623,0.714108,0.994814,0.201534,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result2Dec,0.610051,0.473961,0.917794,0.688582,0.171393,0.327667,0.314498,0.646355,0.388019,0.334647,0.898941,0.062755,0.550459,0.612433,0.838030,0.485030,0.695784,0.891495,0.295616,0.957497,0.290888,0.753060,0.065391,0.839830,0.716408,0.846368,0.116385,0.712672,0.203991,0.117179,0.501041,0.437370,0.188162,0.238307,0.638966,0.645491,0.337914,0.524622,0.132185,0.783509,0.820050,0.569228,0.000561,0.734966,0.978959,0.140047,0.992877,0.080380,0.206976,0.033070,0.109692,0.706236,0.053847,0.275808,0.273441,0.097895,0.754650,0.145218,0.151306,0.610779,0.780642,0.102966,0.215193,0.079165,0.127539,0.324375,0.389474,0.834002,0.004242,0.758503,0.606646,0.805939,0.861403,0.084523,0.063366,0.858083,0.375830,0.259632,0.575291,0.076993,0.266581,0.190728,0.388019,0.234089,0.161715,0.406604,0.953957,0.312476,0.153781,0.739456,0.162316,0.746219,0.773656,0.080652,0.133073,0.083365,0.007883,0.632206,0.716408,0.199668,0.012840,0.601574,0.215319,0.745076,0.852803,0.323687,0.967387,0.756351,0.181291,0.907725,0.488104,0.822126,0.678086,0.658422,0.379260,0.151826,0.819946,0.194020,0.588166,0.287477,0.033763,0.645491,0.251033,0.176450,0.513113,0.186579,0.414124,0.355393,0.848818,0.802841,0.342451,0.755331,0.311638,0.441853,0.903179,0.313652,0.508068,0.920363,0.470450,0.400449,0.869148,0.704478,0.923126,0.414527,0.014838,0.829021,0.597334,0.544017,0.731965,0.739571,0.411307,0.569461,0.354569,0.566901,0.884161,0.190728,0.088249,0.923756,0.218536,0.926154,0.669371,0.551317,0.455820,0.651190,0.493614,0.574639,0.183223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result2Enc,0.849309,0.932069,0.930090,0.776553,0.514424,0.107362,0.926854,0.956091,0.577159,0.838130,0.856650,0.132312,0.216206,0.829837,0.850961,0.256427,0.114140,0.844101,0.986037,0.797680,0.568646,0.105051,0.136977,0.232539,0.276268,0.368279,0.417864,0.122323,0.910387,0.455664,0.645609,0.384250,0.617873,0.696255,0.356861,0.426323,0.475974,0.723159,0.923989,0.120328,0.532463,0.539087,0.177908,0.248334,0.816712,0.529731,0.562371,0.249610,0.050204,0.358609,0.465925,0.173619,0.491076,0.272378,0.867947,0.632799,0.964621,0.786584,0.502487,0.942260,0.233077,0.087410,0.227144,0.628887,0.868502,0.126197,0.605348,0.357321,0.831264,0.966526,0.306809,0.707291,0.342898,0.931053,0.767175,0.175752,0.262720,0.132312,0.927460,0.894116,0.950429,0.963622,0.577159,0.290569,0.349743,0.046939,0.087323,0.061059,0.736119,0.529958,0.239956,0.785377,0.452587,0.075028,0.982462,0.967252,0.179157,0.349652,0.387340,0.242793,0.724320,0.794759,0.567134,0.852609,0.714891,0.794651,0.362216,0.581135,0.150504,0.138724,0.890729,0.188162,0.351559,0.657948,0.743931,0.770198,0.483388,0.762567,0.321713,0.177583,0.303181,0.061741,0.121302,0.140846,0.467000,0.105362,0.172718,0.994604,0.444576,0.973691,0.335352,0.260438,0.026276,0.424174,0.591806,0.544017,0.070917,0.367997,0.090446,0.472937,0.632680,0.068832,0.023642,0.353381,0.478476,0.559705,0.396017,0.426118,0.014452,0.858939,0.269505,0.621661,0.541149,0.486566,0.779648,0.963622,0.451974,0.309991,0.011918,0.452140,0.218810,0.035934,0.019623,0.295623,0.714108,0.994814,0.201534,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result3Dec,0.057696,0.681677,0.056759,0.077657,0.549573,0.433691,0.986335,0.104320,0.135421,0.712555,0.183336,0.296019,0.914081,0.774101,0.332453,0.308967,0.535772,0.768408,0.189755,0.233144,0.859034,0.442272,0.063718,0.779316,0.389669,0.202181,0.597805,0.854828,0.276882,0.119824,0.178721,0.710802,0.908669,0.014023,0.676430,0.022778,0.500040,0.061698,0.115332,0.877336,0.586289,0.162517,0.122244,0.993049,0.921095,0.317877,0.820050,0.485579,0.853575,0.997105,0.045106,0.891240,0.449944,0.622371,0.237418,0.268453,0.473912,0.290171,0.272529,0.993709,0.786803,0.231934,0.420096,0.649169,0.568414,0.259047,0.065255,0.784388,0.175591,0.381270,0.855500,0.921386,0.525642,0.660201,0.576692,0.559821,0.954667,0.498708,0.582774,0.378592,0.770309,0.810822,0.135421,0.510083,0.731503,0.763017,0.551266,0.622489,0.453859,0.351195,0.155854,0.292964,0.938212,0.233886,0.923630,0.594040,0.036566,0.049675,0.784938,0.717340,0.030968,0.557505,0.283626,0.921386,0.568530,0.514461,0.535543,0.654982,0.107209,0.846663,0.836926,0.913852,0.781084,0.858939,0.210617,0.909295,0.388794,0.858273,0.353929,0.771091,0.083337,0.121302,0.017116,0.768967,0.695078,0.453541,0.585586,0.231934,0.559589,0.505832,0.240232,0.414628,0.809975,0.076576,0.023545,0.797356,0.714074,0.619056,0.275808,0.775991,0.975590,0.263903,0.355027,0.348656,0.018931,0.563648,0.504716,0.108515,0.889703,0.359994,0.551843,0.072067,0.191762,0.048874,0.930848,0.810822,0.220534,0.653489,0.243042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result3Enc,0.587819,0.432724,0.968293,0.523869,0.518470,0.592332,0.547105,0.970719,0.471098,0.394644,0.654745,0.083590,0.766053,0.979200,0.758955,0.055205,0.073886,0.737731,0.822437,0.584414,0.919406,0.335528,0.730578,0.359624,0.122836,0.497266,0.941699,0.320175,0.800158,0.779537,0.633629,0.288267,0.277651,0.000601,0.445731,0.554614,0.560864,0.734620,0.284879,0.504828,0.713490,0.042360,0.499263,0.636475,0.735197,0.501263,0.516487,0.052743,0.223472,0.547925,0.394546,0.362309,0.076706,0.029312,0.332628,0.611842,0.907961,0.550114,0.691309,0.409802,0.440078,0.281365,0.307555,0.366780,0.557852,0.069117,0.318556,0.704947,0.306230,0.696137,0.036289,0.955854,0.964479,0.913624,0.929751,0.267853,0.053999,0.606292,0.666128,0.868225,0.305651,0.117027,0.471098,0.236667,0.170250,0.252749,0.734274,0.063191,0.187992,0.023137,0.814720,0.300644,0.827895,0.598158,0.289059,0.936591,0.770868,0.291206,0.079299,0.519193,0.458005,0.787788,0.510083,0.933418,0.263903,0.990594,0.327746,0.589575,0.428890,0.028182,0.178070,0.923845,0.280510,0.119206,0.112408,0.619175,0.750328,0.142410,0.845975,0.269957,0.477605,0.225105,0.272150,0.805619,0.756125,0.163271,0.841623,0.461635,0.317537,0.756918,0.070024,0.184338,0.257661,0.254835,0.696020,0.900989,0.164485,0.953185,0.318727,0.730578,0.852416,0.609125,0.067242,0.184003,0.088442,0.375071,0.433843,0.695784,0.223277,0.030720,0.158983,0.783729,0.748960,0.438098,0.560748,0.117027,0.988001,0.837935,0.962805,0.173861,0.775768,0.876575,0.689725,0.825751,0.064716,0.228216,0.266731,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result4Dec,0.785622,0.318487,0.989713,0.879794,0.173853,0.234663,0.075384,0.430001,0.666721,0.592159,0.661742,0.041164,0.875626,0.659489,0.935674,0.487554,0.746791,0.923630,0.576225,0.960376,0.587345,0.693548,0.137325,0.804338,0.179157,0.865718,0.594510,0.812194,0.409702,0.149893,0.599571,0.778763,0.193787,0.286609,0.577393,0.954612,0.147841,0.852706,0.684113,0.409702,0.143627,0.881346,0.000712,0.993285,0.959002,0.131723,0.956760,0.215572,0.380887,0.362123,0.018732,0.605938,0.050169,0.296342,0.242654,0.036566,0.934019,0.063038,0.902775,0.472396,0.787131,0.478476,0.119052,0.046889,0.360271,0.299015,0.681041,0.915900,0.039301,0.728726,0.912012,0.974903,0.713840,0.109800,0.024238,0.821815,0.485688,0.507285,0.337205,0.086072,0.196298,0.640508,0.666721,0.313568,0.506279,0.787788,0.965372,0.468400,0.077676,0.907093,0.324461,0.787131,0.941512,0.653677,0.146731,0.050009,0.034897,0.455876,0.581486,0.071845,0.097281,0.055108,0.362494,0.446046,0.722694,0.026150,0.975929,0.412513,0.128605,0.607236,0.478040,0.245026,0.891240,0.577393,0.139781,0.116536,0.889103,0.071355,0.952295,0.499374,0.184059,0.445416,0.343883,0.176074,0.395134,0.259266,0.229529,0.244956,0.701427,0.768072,0.593569,0.239131,0.166935,0.308717,0.844200,0.156973,0.889103,0.927600,0.765604,0.659964,0.913471,0.961476,0.780974,0.161665,0.311889,0.666128,0.650830,0.657948,0.699547,0.387437,0.608181,0.745991,0.565506,0.665536,0.804018,0.640508,0.531326,0.895218,0.068101,0.096608,0.354923,0.700957,0.623187,0.708179,0.834442,0.840482,0.707671,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result4Enc,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003543,0.000000,0.000000,0.000000,0.000000,0.008741,0.000000,0.001210,0.000072,0.414931,0.000000,0.081557,0.000020,0.724204,0.000027,0.006150,0.014436,0.000000,0.000021,0.001215,0.224909,0.115820,0.500707,0.000607,0.000188,0.047829,0.064851,0.516262,0.180687,0.102932,0.760875,0.000000,0.000124,0.000077,0.021773,0.191417,0.237076,0.112335,0.299259,0.000754,0.330093,0.319322,0.030596,0.000000,0.000325,0.092244,0.765267,0.453329,0.000000,0.533603,0.000000,0.000148,0.000000,0.000000,0.000052,0.134563,0.017930,0.698254,0.264645,0.040085,0.690602,0.000000,0.089843,0.842815,0.177962,0.000000,0.812405,0.000850,0.000859,0.000000,0.199430,0.000000,0.039927,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.031184,0.000000,0.007325,0.000000,0.000059,0.000005,0.009594,0.000000,0.002057,0.045139,0.998476,0.005973,0.000367,0.119322,0.502710,0.690602,0.788226,0.523942,0.000001,0.000013,0.005449,0.077966,0.000330,0.000323,0.000144,0.059716,0.300073,0.005693,0.847056,0.000444,0.363237,0.038089,0.011422,0.770421,0.208328,0.463563,0.079514,0.051116,0.039899,0.018501,0.000001,0.200323,0.839131,0.646559,0.611606,0.029877,0.482185,0.410203,0.318812,0.645728,0.604758,0.000578,0.141917,0.000207,0.000001,0.222042,0.094733,0.003591,0.000353,0.012994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
