Config file: Conf.ini 
Using binary neurons
Number,NCC-Alice Bob(%),NCC-Alice Original(%),NCC-Bob Original(%),Alice Name,Bob Name
0,2.414778,2.414778,100.000000,U3/sha1.bin/Result0Enc.bin,U3/sha1.bin/Result0Dec.bin
1,2.414778,2.414778,100.000000,U3/sha1.bin/Result1Enc.bin,U3/sha1.bin/Result1Dec.bin
2,2.414778,2.414778,100.000000,U3/sha1.bin/Result2Enc.bin,U3/sha1.bin/Result2Dec.bin
3,2.414756,2.414778,99.999931,U3/sha1.bin/Result3Enc.bin,U3/sha1.bin/Result3Dec.bin
4,2.414778,2.414778,100.000000,U3/sha1.bin/Result4Enc.bin,U3/sha1.bin/Result4Dec.bin
5,2.414778,2.414778,100.000000,U3/sha1.bin/Result5Enc.bin,U3/sha1.bin/Result5Dec.bin
6,2.414778,2.414778,100.000000,U3/sha1.bin/Result6Enc.bin,U3/sha1.bin/Result6Dec.bin
7,2.414778,2.414778,100.000000,U3/sha1.bin/Result7Enc.bin,U3/sha1.bin/Result7Dec.bin
8,2.414778,2.414778,100.000000,U3/sha1.bin/Result8Enc.bin,U3/sha1.bin/Result8Dec.bin
9,2.414778,2.414778,100.000000,U3/sha1.bin/Result9Enc.bin,U3/sha1.bin/Result9Dec.bin
10,2.414778,2.414778,100.000000,U3/sha1.bin/Result10Enc.bin,U3/sha1.bin/Result10Dec.bin
11,2.414778,2.414778,100.000000,U3/sha1.bin/Result11Enc.bin,U3/sha1.bin/Result11Dec.bin
12,2.414778,2.414778,100.000000,U3/sha1.bin/Result12Enc.bin,U3/sha1.bin/Result12Dec.bin
13,2.414778,2.414778,100.000000,U3/sha1.bin/Result13Enc.bin,U3/sha1.bin/Result13Dec.bin
14,2.414756,2.414778,99.999931,U3/sha1.bin/Result14Enc.bin,U3/sha1.bin/Result14Dec.bin
15,2.414786,2.414778,99.999985,U3/sha1.bin/Result15Enc.bin,U3/sha1.bin/Result15Dec.bin
16,2.414779,2.414778,100.000000,U3/sha1.bin/Result16Enc.bin,U3/sha1.bin/Result16Dec.bin
17,2.414778,2.414778,100.000000,U3/sha1.bin/Result17Enc.bin,U3/sha1.bin/Result17Dec.bin
18,2.414778,2.414778,100.000000,U3/sha1.bin/Result18Enc.bin,U3/sha1.bin/Result18Dec.bin
19,2.414755,2.414778,99.999931,U3/sha1.bin/Result19Enc.bin,U3/sha1.bin/Result19Dec.bin
20,-0.573586,2.250342,67.387245,U3/sha1.bin/Result20Enc.bin,U3/sha1.bin/Result20Dec.bin
21,2.414799,2.414778,100.000000,U3/sha1.bin/Result21Enc.bin,U3/sha1.bin/Result21Dec.bin
22,0.592755,2.414778,21.988663,U3/sha1.bin/Result22Enc.bin,U3/sha1.bin/Result22Dec.bin
23,2.414753,2.414778,99.999931,U3/sha1.bin/Result23Enc.bin,U3/sha1.bin/Result23Dec.bin
24,0.962352,2.414752,64.675156,U3/sha1.bin/Result24Enc.bin,U3/sha1.bin/Result24Dec.bin
25,2.413813,2.414752,99.999977,U3/sha1.bin/Result25Enc.bin,U3/sha1.bin/Result25Dec.bin
26,2.414778,2.414778,100.000000,U3/sha1.bin/Result26Enc.bin,U3/sha1.bin/Result26Dec.bin
27,2.414778,2.414778,100.000000,U3/sha1.bin/Result27Enc.bin,U3/sha1.bin/Result27Dec.bin
28,2.414778,2.414778,100.000000,U3/sha1.bin/Result28Enc.bin,U3/sha1.bin/Result28Dec.bin
29,2.414755,2.414778,99.999931,U3/sha1.bin/Result29Enc.bin,U3/sha1.bin/Result29Dec.bin
30,2.414778,2.414778,100.000000,U3/sha1.bin/Result30Enc.bin,U3/sha1.bin/Result30Dec.bin
31,-0.222013,-0.203885,57.392258,U3/sha1.bin/Result31Enc.bin,U3/sha1.bin/Result31Dec.bin
32,2.417820,2.414833,99.999840,U3/sha1.bin/Result32Enc.bin,U3/sha1.bin/Result32Dec.bin
33,2.414756,2.414778,99.999931,U3/sha1.bin/Result33Enc.bin,U3/sha1.bin/Result33Dec.bin
34,2.414779,2.414778,100.000000,U3/sha1.bin/Result34Enc.bin,U3/sha1.bin/Result34Dec.bin
35,-0.222080,-0.203885,57.392223,U3/sha1.bin/Result35Enc.bin,U3/sha1.bin/Result35Dec.bin
36,2.414778,2.414778,100.000000,U3/sha1.bin/Result36Enc.bin,U3/sha1.bin/Result36Dec.bin
37,2.414753,2.414778,99.999931,U3/sha1.bin/Result37Enc.bin,U3/sha1.bin/Result37Dec.bin
38,2.414776,2.414778,99.999992,U3/sha1.bin/Result38Enc.bin,U3/sha1.bin/Result38Dec.bin
39,2.414778,2.414778,100.000000,U3/sha1.bin/Result39Enc.bin,U3/sha1.bin/Result39Dec.bin
40,2.414756,2.414778,99.999931,U3/sha1.bin/Result40Enc.bin,U3/sha1.bin/Result40Dec.bin
41,2.414778,2.414778,100.000000,U3/sha1.bin/Result41Enc.bin,U3/sha1.bin/Result41Dec.bin
42,3.410633,2.414778,60.894615,U3/sha1.bin/Result42Enc.bin,U3/sha1.bin/Result42Dec.bin
43,2.414778,2.414778,100.000000,U3/sha1.bin/Result43Enc.bin,U3/sha1.bin/Result43Dec.bin
44,2.414778,2.414778,100.000000,U3/sha1.bin/Result44Enc.bin,U3/sha1.bin/Result44Dec.bin
45,2.414778,2.414778,100.000000,U3/sha1.bin/Result45Enc.bin,U3/sha1.bin/Result45Dec.bin
46,0.592755,2.414778,21.988663,U3/sha1.bin/Result46Enc.bin,U3/sha1.bin/Result46Dec.bin
47,2.414778,2.414778,100.000000,U3/sha1.bin/Result47Enc.bin,U3/sha1.bin/Result47Dec.bin
48,2.414778,2.414778,100.000000,U3/sha1.bin/Result48Enc.bin,U3/sha1.bin/Result48Dec.bin
49,2.188638,1.562180,87.303314,U3/sha1.bin/Result49Enc.bin,U3/sha1.bin/Result49Dec.bin
50,1.234188,-0.201835,46.958256,U3/sha1.bin/Result50Enc.bin,U3/sha1.bin/Result50Dec.bin
51,-0.431999,2.414778,24.849241,U3/sha1.bin/Result51Enc.bin,U3/sha1.bin/Result51Dec.bin
52,-0.574465,2.351737,24.854782,U3/sha1.bin/Result52Enc.bin,U3/sha1.bin/Result52Dec.bin
53,1.835637,2.407111,54.737835,U3/sha1.bin/Result53Enc.bin,U3/sha1.bin/Result53Dec.bin
54,2.414778,2.414778,100.000000,U3/sha1.bin/Result54Enc.bin,U3/sha1.bin/Result54Dec.bin
55,2.414778,2.414778,100.000000,U3/sha1.bin/Result55Enc.bin,U3/sha1.bin/Result55Dec.bin
56,2.947392,2.414778,90.830711,U3/sha1.bin/Result56Enc.bin,U3/sha1.bin/Result56Dec.bin
57,2.414778,2.414778,100.000000,U3/sha1.bin/Result57Enc.bin,U3/sha1.bin/Result57Dec.bin
58,2.414779,2.414778,100.000000,U3/sha1.bin/Result58Enc.bin,U3/sha1.bin/Result58Dec.bin
59,2.414778,2.414778,100.000000,U3/sha1.bin/Result59Enc.bin,U3/sha1.bin/Result59Dec.bin
60,2.414778,2.414778,100.000000,U3/sha1.bin/Result60Enc.bin,U3/sha1.bin/Result60Dec.bin
61,0.251707,2.414778,41.920425,U3/sha1.bin/Result61Enc.bin,U3/sha1.bin/Result61Dec.bin
62,2.414778,2.414778,100.000000,U3/sha1.bin/Result62Enc.bin,U3/sha1.bin/Result62Dec.bin
63,2.140131,1.296124,92.165634,U3/sha1.bin/Result63Enc.bin,U3/sha1.bin/Result63Dec.bin
64,1.835637,2.407111,54.737854,U3/sha1.bin/Result64Enc.bin,U3/sha1.bin/Result64Dec.bin
65,2.414778,2.414778,100.000000,U3/sha1.bin/Result65Enc.bin,U3/sha1.bin/Result65Dec.bin
66,2.414756,2.414778,99.999931,U3/sha1.bin/Result66Enc.bin,U3/sha1.bin/Result66Dec.bin
67,3.652618,2.414778,72.459480,U3/sha1.bin/Result67Enc.bin,U3/sha1.bin/Result67Dec.bin
68,1.835637,2.407111,54.737854,U3/sha1.bin/Result68Enc.bin,U3/sha1.bin/Result68Dec.bin
69,1.848785,1.123609,90.904099,U3/sha1.bin/Result69Enc.bin,U3/sha1.bin/Result69Dec.bin
70,2.414778,2.414778,100.000000,U3/sha1.bin/Result70Enc.bin,U3/sha1.bin/Result70Dec.bin
71,2.650011,0.271598,10.859923,U3/sha1.bin/Result71Enc.bin,U3/sha1.bin/Result71Dec.bin
72,2.414778,2.414778,100.000000,U3/sha1.bin/Result72Enc.bin,U3/sha1.bin/Result72Dec.bin
