Config file: Conf.ini 
Using binary neurons
Number,NCC-Alice Bob(%),NCC-Alice Original(%),NCC-Bob Original(%),Alice Name,Bob Name
0,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result0Enc.bin,U3/sqrt3.bin/Result0Dec.bin
1,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result1Enc.bin,U3/sqrt3.bin/Result1Dec.bin
2,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result2Enc.bin,U3/sqrt3.bin/Result2Dec.bin
3,-3.714060,-3.714064,100.000000,U3/sqrt3.bin/Result3Enc.bin,U3/sqrt3.bin/Result3Dec.bin
4,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result4Enc.bin,U3/sqrt3.bin/Result4Dec.bin
5,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result5Enc.bin,U3/sqrt3.bin/Result5Dec.bin
6,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result6Enc.bin,U3/sqrt3.bin/Result6Dec.bin
7,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result7Enc.bin,U3/sqrt3.bin/Result7Dec.bin
8,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result8Enc.bin,U3/sqrt3.bin/Result8Dec.bin
9,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result9Enc.bin,U3/sqrt3.bin/Result9Dec.bin
10,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result10Enc.bin,U3/sqrt3.bin/Result10Dec.bin
11,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result11Enc.bin,U3/sqrt3.bin/Result11Dec.bin
12,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result12Enc.bin,U3/sqrt3.bin/Result12Dec.bin
13,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result13Enc.bin,U3/sqrt3.bin/Result13Dec.bin
14,-3.714060,-3.714064,100.000000,U3/sqrt3.bin/Result14Enc.bin,U3/sqrt3.bin/Result14Dec.bin
15,-3.714155,-3.714064,99.999886,U3/sqrt3.bin/Result15Enc.bin,U3/sqrt3.bin/Result15Dec.bin
16,-3.714062,-3.714064,100.000000,U3/sqrt3.bin/Result16Enc.bin,U3/sqrt3.bin/Result16Dec.bin
17,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result17Enc.bin,U3/sqrt3.bin/Result17Dec.bin
18,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result18Enc.bin,U3/sqrt3.bin/Result18Dec.bin
19,-3.714061,-3.714064,100.000000,U3/sqrt3.bin/Result19Enc.bin,U3/sqrt3.bin/Result19Dec.bin
20,-2.625671,-2.855206,64.807365,U3/sqrt3.bin/Result20Enc.bin,U3/sqrt3.bin/Result20Dec.bin
21,-3.714016,-3.714064,100.000000,U3/sqrt3.bin/Result21Enc.bin,U3/sqrt3.bin/Result21Dec.bin
22,-1.593090,-3.714064,31.897345,U3/sqrt3.bin/Result22Enc.bin,U3/sqrt3.bin/Result22Dec.bin
23,-3.714060,-3.714064,100.000000,U3/sqrt3.bin/Result23Enc.bin,U3/sqrt3.bin/Result23Dec.bin
24,-2.707278,-3.713952,67.118790,U3/sqrt3.bin/Result24Enc.bin,U3/sqrt3.bin/Result24Dec.bin
25,-3.713626,-3.713952,99.999954,U3/sqrt3.bin/Result25Enc.bin,U3/sqrt3.bin/Result25Dec.bin
26,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result26Enc.bin,U3/sqrt3.bin/Result26Dec.bin
27,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result27Enc.bin,U3/sqrt3.bin/Result27Dec.bin
28,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result28Enc.bin,U3/sqrt3.bin/Result28Dec.bin
29,-3.714062,-3.714064,100.000000,U3/sqrt3.bin/Result29Enc.bin,U3/sqrt3.bin/Result29Dec.bin
30,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result30Enc.bin,U3/sqrt3.bin/Result30Dec.bin
31,-1.955199,-1.820211,50.271137,U3/sqrt3.bin/Result31Enc.bin,U3/sqrt3.bin/Result31Dec.bin
32,-3.714752,-3.714076,99.999985,U3/sqrt3.bin/Result32Enc.bin,U3/sqrt3.bin/Result32Dec.bin
33,-3.714060,-3.714064,100.000000,U3/sqrt3.bin/Result33Enc.bin,U3/sqrt3.bin/Result33Dec.bin
34,-3.714062,-3.714064,100.000000,U3/sqrt3.bin/Result34Enc.bin,U3/sqrt3.bin/Result34Dec.bin
35,-1.955296,-1.820211,50.271164,U3/sqrt3.bin/Result35Enc.bin,U3/sqrt3.bin/Result35Dec.bin
36,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result36Enc.bin,U3/sqrt3.bin/Result36Dec.bin
37,-3.714060,-3.714064,100.000000,U3/sqrt3.bin/Result37Enc.bin,U3/sqrt3.bin/Result37Dec.bin
38,-3.714062,-3.714064,100.000000,U3/sqrt3.bin/Result38Enc.bin,U3/sqrt3.bin/Result38Dec.bin
39,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result39Enc.bin,U3/sqrt3.bin/Result39Dec.bin
40,-3.714060,-3.714064,100.000000,U3/sqrt3.bin/Result40Enc.bin,U3/sqrt3.bin/Result40Dec.bin
41,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result41Enc.bin,U3/sqrt3.bin/Result41Dec.bin
42,-5.778815,-3.714064,58.391922,U3/sqrt3.bin/Result42Enc.bin,U3/sqrt3.bin/Result42Dec.bin
43,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result43Enc.bin,U3/sqrt3.bin/Result43Dec.bin
44,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result44Enc.bin,U3/sqrt3.bin/Result44Dec.bin
45,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result45Enc.bin,U3/sqrt3.bin/Result45Dec.bin
46,-1.593090,-3.714064,31.897345,U3/sqrt3.bin/Result46Enc.bin,U3/sqrt3.bin/Result46Dec.bin
47,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result47Enc.bin,U3/sqrt3.bin/Result47Dec.bin
48,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result48Enc.bin,U3/sqrt3.bin/Result48Dec.bin
49,-3.733324,-2.932048,82.139191,U3/sqrt3.bin/Result49Enc.bin,U3/sqrt3.bin/Result49Dec.bin
50,-2.061847,0.209553,50.819344,U3/sqrt3.bin/Result50Enc.bin,U3/sqrt3.bin/Result50Dec.bin
51,0.615259,-3.714064,22.148588,U3/sqrt3.bin/Result51Enc.bin,U3/sqrt3.bin/Result51Dec.bin
52,0.506296,-3.787616,22.172325,U3/sqrt3.bin/Result52Enc.bin,U3/sqrt3.bin/Result52Dec.bin
53,-2.171067,-1.275126,36.462105,U3/sqrt3.bin/Result53Enc.bin,U3/sqrt3.bin/Result53Dec.bin
54,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result54Enc.bin,U3/sqrt3.bin/Result54Dec.bin
55,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result55Enc.bin,U3/sqrt3.bin/Result55Dec.bin
56,-3.560129,-3.714064,89.462227,U3/sqrt3.bin/Result56Enc.bin,U3/sqrt3.bin/Result56Dec.bin
57,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result57Enc.bin,U3/sqrt3.bin/Result57Dec.bin
58,-3.714062,-3.714064,100.000000,U3/sqrt3.bin/Result58Enc.bin,U3/sqrt3.bin/Result58Dec.bin
59,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result59Enc.bin,U3/sqrt3.bin/Result59Dec.bin
60,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result60Enc.bin,U3/sqrt3.bin/Result60Dec.bin
61,-3.500127,-3.714064,46.172825,U3/sqrt3.bin/Result61Enc.bin,U3/sqrt3.bin/Result61Dec.bin
62,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result62Enc.bin,U3/sqrt3.bin/Result62Dec.bin
63,-4.299650,-3.693578,87.711624,U3/sqrt3.bin/Result63Enc.bin,U3/sqrt3.bin/Result63Dec.bin
64,-2.171069,-1.275126,36.462112,U3/sqrt3.bin/Result64Enc.bin,U3/sqrt3.bin/Result64Dec.bin
65,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result65Enc.bin,U3/sqrt3.bin/Result65Dec.bin
66,-3.714060,-3.714064,100.000000,U3/sqrt3.bin/Result66Enc.bin,U3/sqrt3.bin/Result66Dec.bin
67,-3.279062,-3.714064,69.401535,U3/sqrt3.bin/Result67Enc.bin,U3/sqrt3.bin/Result67Dec.bin
68,-2.171069,-1.275126,36.462112,U3/sqrt3.bin/Result68Enc.bin,U3/sqrt3.bin/Result68Dec.bin
69,-3.662055,-3.636748,86.684929,U3/sqrt3.bin/Result69Enc.bin,U3/sqrt3.bin/Result69Dec.bin
70,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result70Enc.bin,U3/sqrt3.bin/Result70Dec.bin
71,1.344312,0.098399,8.370221,U3/sqrt3.bin/Result71Enc.bin,U3/sqrt3.bin/Result71Dec.bin
72,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result72Enc.bin,U3/sqrt3.bin/Result72Dec.bin
73,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result73Enc.bin,U3/sqrt3.bin/Result73Dec.bin
74,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result74Enc.bin,U3/sqrt3.bin/Result74Dec.bin
75,-4.010635,-3.593350,86.045959,U3/sqrt3.bin/Result75Enc.bin,U3/sqrt3.bin/Result75Dec.bin
76,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result76Enc.bin,U3/sqrt3.bin/Result76Dec.bin
77,-3.714060,-3.714064,100.000000,U3/sqrt3.bin/Result77Enc.bin,U3/sqrt3.bin/Result77Dec.bin
78,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result78Enc.bin,U3/sqrt3.bin/Result78Dec.bin
79,-3.844922,-3.714064,53.709621,U3/sqrt3.bin/Result79Enc.bin,U3/sqrt3.bin/Result79Dec.bin
80,-3.714061,-3.714064,100.000000,U3/sqrt3.bin/Result80Enc.bin,U3/sqrt3.bin/Result80Dec.bin
81,-1.683680,-1.275126,8.398657,U3/sqrt3.bin/Result81Enc.bin,U3/sqrt3.bin/Result81Dec.bin
82,-3.716338,-3.712933,99.999245,U3/sqrt3.bin/Result82Enc.bin,U3/sqrt3.bin/Result82Dec.bin
83,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result83Enc.bin,U3/sqrt3.bin/Result83Dec.bin
84,-3.674667,-3.714064,99.921524,U3/sqrt3.bin/Result84Enc.bin,U3/sqrt3.bin/Result84Dec.bin
85,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result85Enc.bin,U3/sqrt3.bin/Result85Dec.bin
86,-3.714000,-3.714039,99.999985,U3/sqrt3.bin/Result86Enc.bin,U3/sqrt3.bin/Result86Dec.bin
87,-2.061783,0.209550,50.819324,U3/sqrt3.bin/Result87Enc.bin,U3/sqrt3.bin/Result87Dec.bin
88,-3.714191,-3.714237,99.999962,U3/sqrt3.bin/Result88Enc.bin,U3/sqrt3.bin/Result88Dec.bin
89,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result89Enc.bin,U3/sqrt3.bin/Result89Dec.bin
90,-3.714155,-3.714064,99.999886,U3/sqrt3.bin/Result90Enc.bin,U3/sqrt3.bin/Result90Dec.bin
91,-2.171069,-1.275126,36.462112,U3/sqrt3.bin/Result91Enc.bin,U3/sqrt3.bin/Result91Dec.bin
92,0.615259,-3.714064,22.148588,U3/sqrt3.bin/Result92Enc.bin,U3/sqrt3.bin/Result92Dec.bin
93,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result93Enc.bin,U3/sqrt3.bin/Result93Dec.bin
94,-1.955199,-1.820211,50.271137,U3/sqrt3.bin/Result94Enc.bin,U3/sqrt3.bin/Result94Dec.bin
95,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result95Enc.bin,U3/sqrt3.bin/Result95Dec.bin
96,-3.714155,-3.714064,99.999886,U3/sqrt3.bin/Result96Enc.bin,U3/sqrt3.bin/Result96Dec.bin
97,-3.714064,-3.714064,100.000000,U3/sqrt3.bin/Result97Enc.bin,U3/sqrt3.bin/Result97Dec.bin
98,-3.697534,-3.715431,99.784119,U3/sqrt3.bin/Result98Enc.bin,U3/sqrt3.bin/Result98Dec.bin
99,-3.714730,-3.713902,99.999565,U3/sqrt3.bin/Result99Enc.bin,U3/sqrt3.bin/Result99Dec.bin
nccCalculation function requires that both vectors have the same size
nccCalculation function requires that both vectors have the same size
-----------
Number,AES-Alice Bob(%),AES-Alice Original(%),AES-Bob Original(%),AES Name,AES-Clear Name
0,0.646136,-100.000000,-100.000000,U3/sqrt3.bin/ResultAESSections.bin,U3/sqrt3.bin/ResultAESClearSections.bin
TimeDiff: 514 secs
Last best score: 0.000000
