File,Frequency,BlockFrequency,CumulativeSums,CumulativeSums,Runs,LongestRun,Rank,FFT,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,OverlappingTemplate,Universal,ApproximateEntropy,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,Serial,Serial,LinearComplexity
Result0Dec,0.578211,0.380615,0.628308,0.664299,0.833909,0.513439,0.083553,0.032504,0.984111,0.058972,0.815665,0.671814,0.334120,0.072018,0.035936,0.545970,0.839431,0.961277,0.405807,0.344960,0.762003,0.635882,0.788773,0.288742,0.972972,0.556926,0.961028,0.619293,0.452164,0.784828,0.885732,0.099923,0.487005,0.728031,0.998743,0.374028,0.882141,0.263163,0.506391,0.269204,0.417762,0.974164,0.487444,0.586758,0.212425,0.350377,0.960678,0.911781,0.107279,0.541722,0.337117,0.648220,0.151117,0.048701,0.705064,0.515024,0.060321,0.976673,0.819009,0.812405,0.526209,0.498375,0.857606,0.078951,0.988317,0.868132,0.543787,0.614679,0.716524,0.057852,0.318897,0.819113,0.507397,0.460245,0.051188,0.975248,0.364074,0.934949,0.483607,0.203507,0.422336,0.975666,0.984111,0.492399,0.074037,0.857606,0.831772,0.064138,0.012533,0.141425,0.656168,0.197889,0.213554,0.610897,0.246711,0.477061,0.047609,0.519532,0.711737,0.582657,0.243280,0.906776,0.673116,0.863755,0.712439,0.723159,0.868132,0.265612,0.897786,0.110447,0.692841,0.464636,0.236735,0.577393,0.161965,0.131639,0.889875,0.717573,0.935345,0.681987,0.595216,0.997047,0.340667,0.269355,0.408401,0.239887,0.383864,0.852222,0.311387,0.151400,0.599336,0.917326,0.582540,0.331577,0.429199,0.647271,0.746791,0.774769,0.046047,0.649406,0.423356,0.695196,0.785377,0.565971,0.275808,0.924989,0.672761,0.411006,0.090024,0.964195,0.409802,0.675957,0.483826,0.830551,0.795409,0.975666,0.787039,0.892602,0.243077,0.636061,0.322434,0.015863,0.025967,0.024088,0.493823,0.704845,0.727047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result0Enc,0.051895,0.413968,0.080145,0.054210,0.953924,0.907988,0.745174,0.457296,0.049482,0.102459,0.748390,0.511204,0.577626,0.125028,0.872268,0.168224,0.844891,0.965044,0.172613,0.058931,0.081282,0.790301,0.322570,0.989450,0.600867,0.819218,0.395821,0.782848,0.581837,0.202481,0.782077,0.514799,0.739571,0.029745,0.450260,0.090991,0.995253,0.339244,0.761890,0.581486,0.621424,0.314831,0.703891,0.390544,0.746677,0.644067,0.051732,0.938019,0.413519,0.582305,0.078844,0.527117,0.858368,0.775880,0.332628,0.943678,0.024518,0.758616,0.082359,0.976191,0.331315,0.245306,0.563068,0.265165,0.740030,0.732196,0.021716,0.196533,0.018845,0.569112,0.140091,0.035561,0.861874,0.913011,0.826972,0.363051,0.995701,0.780311,0.359717,0.266656,0.204840,0.830857,0.049482,0.844694,0.937890,0.663995,0.909998,0.483935,0.780421,0.504828,0.467108,0.191015,0.384635,0.484921,0.722927,0.188105,0.481420,0.220620,0.523942,0.187652,0.892090,0.597334,0.119052,0.894704,0.022727,0.636475,0.734735,0.872724,0.811350,0.643118,0.937437,0.889875,0.351741,0.863849,0.529276,0.599689,0.646321,0.840130,0.013044,0.283704,0.329484,0.423356,0.396213,0.760649,0.870620,0.356677,0.552997,0.995551,0.596039,0.593217,0.179593,0.865345,0.060279,0.102864,0.962509,0.905185,0.326360,0.316013,0.238239,0.051459,0.645135,0.696608,0.565855,0.092274,0.477170,0.878143,0.187087,0.712906,0.951338,0.385021,0.062149,0.754310,0.456089,0.557505,0.581135,0.830857,0.933616,0.548559,0.496135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ResultAESClearSections,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ResultAESSections,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result1Dec,0.578211,0.380615,0.628308,0.664299,0.833909,0.513439,0.083553,0.032504,0.984111,0.058972,0.815665,0.671814,0.334120,0.072018,0.035936,0.545970,0.839431,0.961277,0.405807,0.344960,0.762003,0.635882,0.788773,0.288742,0.972972,0.556926,0.961028,0.619293,0.452164,0.784828,0.885732,0.099923,0.487005,0.728031,0.998743,0.374028,0.882141,0.263163,0.506391,0.269204,0.417762,0.974164,0.487444,0.586758,0.212425,0.350377,0.960678,0.911781,0.107279,0.541722,0.337117,0.648220,0.151117,0.048701,0.705064,0.515024,0.060321,0.976673,0.819009,0.812405,0.526209,0.498375,0.857606,0.078951,0.988317,0.868132,0.543787,0.614679,0.716524,0.057852,0.318897,0.819113,0.507397,0.460245,0.051188,0.975248,0.364074,0.934949,0.483607,0.203507,0.422336,0.975666,0.984111,0.492399,0.074037,0.857606,0.831772,0.064138,0.012533,0.141425,0.656168,0.197889,0.213554,0.610897,0.246711,0.477061,0.047609,0.519532,0.711737,0.582657,0.243280,0.906776,0.673116,0.863755,0.712439,0.723159,0.868132,0.265612,0.897786,0.110447,0.692841,0.464636,0.236735,0.577393,0.161965,0.131639,0.889875,0.717573,0.935345,0.681987,0.595216,0.997047,0.340667,0.269355,0.408401,0.239887,0.383864,0.852222,0.311387,0.151400,0.599336,0.917326,0.582540,0.331577,0.429199,0.647271,0.746791,0.774769,0.046047,0.649406,0.423356,0.695196,0.785377,0.565971,0.275808,0.924989,0.672761,0.411006,0.090024,0.964195,0.409802,0.675957,0.483826,0.830551,0.795409,0.975666,0.787039,0.892602,0.243077,0.636061,0.322434,0.015863,0.025967,0.024088,0.493823,0.704845,0.727047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result1Enc,0.051895,0.413968,0.080145,0.054210,0.953924,0.907988,0.745174,0.457296,0.049482,0.102459,0.748390,0.511204,0.577626,0.125028,0.872268,0.168224,0.844891,0.965044,0.172613,0.058931,0.081282,0.790301,0.322570,0.989450,0.600867,0.819218,0.395821,0.782848,0.581837,0.202481,0.782077,0.514799,0.739571,0.029745,0.450260,0.090991,0.995253,0.339244,0.761890,0.581486,0.621424,0.314831,0.703891,0.390544,0.746677,0.644067,0.051732,0.938019,0.413519,0.582305,0.078844,0.527117,0.858368,0.775880,0.332628,0.943678,0.024518,0.758616,0.082359,0.976191,0.331315,0.245306,0.563068,0.265165,0.740030,0.732196,0.021716,0.196533,0.018845,0.569112,0.140091,0.035561,0.861874,0.913011,0.826972,0.363051,0.995701,0.780311,0.359717,0.266656,0.204840,0.830857,0.049482,0.844694,0.937890,0.663995,0.909998,0.483935,0.780421,0.504828,0.467108,0.191015,0.384635,0.484921,0.722927,0.188105,0.481420,0.220620,0.523942,0.187652,0.892090,0.597334,0.119052,0.894704,0.022727,0.636475,0.734735,0.872724,0.811350,0.643118,0.937437,0.889875,0.351741,0.863849,0.529276,0.599689,0.646321,0.840130,0.013044,0.283704,0.329484,0.423356,0.396213,0.760649,0.870620,0.356677,0.552997,0.995551,0.596039,0.593217,0.179593,0.865345,0.060279,0.102864,0.962509,0.905185,0.326360,0.316013,0.238239,0.051459,0.645135,0.696608,0.565855,0.092274,0.477170,0.878143,0.187087,0.712906,0.951338,0.385021,0.062149,0.754310,0.456089,0.557505,0.581135,0.830857,0.933616,0.548559,0.496135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result2Dec,0.578211,0.380615,0.628308,0.664299,0.833909,0.513439,0.083553,0.032504,0.984111,0.058972,0.815665,0.671814,0.334120,0.072018,0.035936,0.545970,0.839431,0.961277,0.405807,0.344960,0.762003,0.635882,0.788773,0.288742,0.972972,0.556926,0.961028,0.619293,0.452164,0.784828,0.885732,0.099923,0.487005,0.728031,0.998743,0.374028,0.882141,0.263163,0.506391,0.269204,0.417762,0.974164,0.487444,0.586758,0.212425,0.350377,0.960678,0.911781,0.107279,0.541722,0.337117,0.648220,0.151117,0.048701,0.705064,0.515024,0.060321,0.976673,0.819009,0.812405,0.526209,0.498375,0.857606,0.078951,0.988317,0.868132,0.543787,0.614679,0.716524,0.057852,0.318897,0.819113,0.507397,0.460245,0.051188,0.975248,0.364074,0.934949,0.483607,0.203507,0.422336,0.975666,0.984111,0.492399,0.074037,0.857606,0.831772,0.064138,0.012533,0.141425,0.656168,0.197889,0.213554,0.610897,0.246711,0.477061,0.047609,0.519532,0.711737,0.582657,0.243280,0.906776,0.673116,0.863755,0.712439,0.723159,0.868132,0.265612,0.897786,0.110447,0.692841,0.464636,0.236735,0.577393,0.161965,0.131639,0.889875,0.717573,0.935345,0.681987,0.595216,0.997047,0.340667,0.269355,0.408401,0.239887,0.383864,0.852222,0.311387,0.151400,0.599336,0.917326,0.582540,0.331577,0.429199,0.647271,0.746791,0.774769,0.046047,0.649406,0.423356,0.695196,0.785377,0.565971,0.275808,0.924989,0.672761,0.411006,0.090024,0.964195,0.409802,0.675957,0.483826,0.830551,0.795409,0.975666,0.787039,0.892602,0.243077,0.636061,0.322434,0.015863,0.025967,0.024088,0.493823,0.704845,0.727047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result2Enc,0.051895,0.413968,0.080145,0.054210,0.953924,0.907988,0.745174,0.457296,0.049482,0.102459,0.748390,0.511204,0.577626,0.125028,0.872268,0.168224,0.844891,0.965044,0.172613,0.058931,0.081282,0.790301,0.322570,0.989450,0.600867,0.819218,0.395821,0.782848,0.581837,0.202481,0.782077,0.514799,0.739571,0.029745,0.450260,0.090991,0.995253,0.339244,0.761890,0.581486,0.621424,0.314831,0.703891,0.390544,0.746677,0.644067,0.051732,0.938019,0.413519,0.582305,0.078844,0.527117,0.858368,0.775880,0.332628,0.943678,0.024518,0.758616,0.082359,0.976191,0.331315,0.245306,0.563068,0.265165,0.740030,0.732196,0.021716,0.196533,0.018845,0.569112,0.140091,0.035561,0.861874,0.913011,0.826972,0.363051,0.995701,0.780311,0.359717,0.266656,0.204840,0.830857,0.049482,0.844694,0.937890,0.663995,0.909998,0.483935,0.780421,0.504828,0.467108,0.191015,0.384635,0.484921,0.722927,0.188105,0.481420,0.220620,0.523942,0.187652,0.892090,0.597334,0.119052,0.894704,0.022727,0.636475,0.734735,0.872724,0.811350,0.643118,0.937437,0.889875,0.351741,0.863849,0.529276,0.599689,0.646321,0.840130,0.013044,0.283704,0.329484,0.423356,0.396213,0.760649,0.870620,0.356677,0.552997,0.995551,0.596039,0.593217,0.179593,0.865345,0.060279,0.102864,0.962509,0.905185,0.326360,0.316013,0.238239,0.051459,0.645135,0.696608,0.565855,0.092274,0.477170,0.878143,0.187087,0.712906,0.951338,0.385021,0.062149,0.754310,0.456089,0.557505,0.581135,0.830857,0.933616,0.548559,0.496135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result3Dec,0.578211,0.380615,0.628308,0.664299,0.833909,0.513439,0.083553,0.032504,0.984111,0.058972,0.815665,0.671814,0.334120,0.072018,0.035936,0.545970,0.839431,0.961277,0.405807,0.344960,0.762003,0.635882,0.788773,0.288742,0.972972,0.556926,0.961028,0.619293,0.452164,0.784828,0.885732,0.099923,0.487005,0.728031,0.998743,0.374028,0.882141,0.263163,0.506391,0.269204,0.417762,0.974164,0.487444,0.586758,0.212425,0.350377,0.960678,0.911781,0.107279,0.541722,0.337117,0.648220,0.151117,0.048701,0.705064,0.515024,0.060321,0.976673,0.819009,0.812405,0.526209,0.498375,0.857606,0.078951,0.988317,0.868132,0.543787,0.614679,0.716524,0.057852,0.318897,0.819113,0.507397,0.460245,0.051188,0.975248,0.364074,0.934949,0.483607,0.203507,0.422336,0.975666,0.984111,0.492399,0.074037,0.857606,0.831772,0.064138,0.012533,0.141425,0.656168,0.197889,0.213554,0.610897,0.246711,0.477061,0.047609,0.519532,0.711737,0.582657,0.243280,0.906776,0.673116,0.863755,0.712439,0.723159,0.868132,0.265612,0.897786,0.110447,0.692841,0.464636,0.236735,0.577393,0.161965,0.131639,0.889875,0.717573,0.935345,0.681987,0.595216,0.997047,0.340667,0.269355,0.408401,0.239887,0.383864,0.852222,0.311387,0.151400,0.599336,0.917326,0.582540,0.331577,0.429199,0.647271,0.746791,0.774769,0.046047,0.649406,0.423356,0.695196,0.785377,0.565971,0.275808,0.924989,0.672761,0.411006,0.090024,0.964195,0.409802,0.675957,0.483826,0.830551,0.795409,0.975666,0.787039,0.892602,0.243077,0.636061,0.322434,0.015863,0.025967,0.024088,0.493823,0.704845,0.727047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result3Enc,0.051895,0.413968,0.080145,0.054210,0.953924,0.907988,0.745174,0.457296,0.049482,0.102459,0.748390,0.511204,0.577626,0.125028,0.872268,0.168224,0.844891,0.965044,0.172613,0.058931,0.081282,0.790301,0.322570,0.989450,0.600867,0.819218,0.395821,0.782848,0.581837,0.202481,0.782077,0.514799,0.739571,0.029745,0.450260,0.090991,0.995253,0.339244,0.761890,0.581486,0.621424,0.314831,0.703891,0.390544,0.746677,0.644067,0.051732,0.938019,0.413519,0.582305,0.078844,0.527117,0.858368,0.775880,0.332628,0.943678,0.024518,0.758616,0.082359,0.976191,0.331315,0.245306,0.563068,0.265165,0.740030,0.732196,0.021716,0.196533,0.018845,0.569112,0.140091,0.035561,0.861874,0.913011,0.826972,0.363051,0.995701,0.780311,0.359717,0.266656,0.204840,0.830857,0.049482,0.844694,0.937890,0.663995,0.909998,0.483935,0.780421,0.504828,0.467108,0.191015,0.384635,0.484921,0.722927,0.188105,0.481420,0.220620,0.523942,0.187652,0.892090,0.597334,0.119052,0.894704,0.022727,0.636475,0.734735,0.872724,0.811350,0.643118,0.937437,0.889875,0.351741,0.863849,0.529276,0.599689,0.646321,0.840130,0.013044,0.283704,0.329484,0.423356,0.396213,0.760649,0.870620,0.356677,0.552997,0.995551,0.596039,0.593217,0.179593,0.865345,0.060279,0.102864,0.962509,0.905185,0.326360,0.316013,0.238239,0.051459,0.645135,0.696608,0.565855,0.092274,0.477170,0.878143,0.187087,0.712906,0.951338,0.385021,0.062149,0.754310,0.456089,0.557505,0.581135,0.830857,0.933616,0.548559,0.496135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
