Config file: Conf.ini 
Using binary neurons
Number,NCC-Alice Bob(%),NCC-Alice Original(%),NCC-Bob Original(%),Alice Name,Bob Name
0,-0.019839,-0.022031,99.999527,U5/pi.bin/Result0Enc.bin,U5/pi.bin/Result0Dec.bin
1,0.447922,0.168740,89.985886,U5/pi.bin/Result1Enc.bin,U5/pi.bin/Result1Dec.bin
2,-0.021954,-0.021954,100.000000,U5/pi.bin/Result2Enc.bin,U5/pi.bin/Result2Dec.bin
3,-1.055220,0.858315,6.157743,U5/pi.bin/Result3Enc.bin,U5/pi.bin/Result3Dec.bin
4,-0.238485,-0.021954,55.664433,U5/pi.bin/Result4Enc.bin,U5/pi.bin/Result4Dec.bin
5,-0.527399,-1.238382,12.105406,U5/pi.bin/Result5Enc.bin,U5/pi.bin/Result5Dec.bin
6,-0.021954,-0.021954,100.000000,U5/pi.bin/Result6Enc.bin,U5/pi.bin/Result6Dec.bin
7,-0.238607,-0.021954,55.666332,U5/pi.bin/Result7Enc.bin,U5/pi.bin/Result7Dec.bin
8,-1.358019,-0.452757,19.674263,U5/pi.bin/Result8Enc.bin,U5/pi.bin/Result8Dec.bin
9,-0.021954,-0.021954,100.000000,U5/pi.bin/Result9Enc.bin,U5/pi.bin/Result9Dec.bin
10,-0.021954,-0.021954,100.000000,U5/pi.bin/Result10Enc.bin,U5/pi.bin/Result10Dec.bin
11,-0.021902,-0.021954,100.000000,U5/pi.bin/Result11Enc.bin,U5/pi.bin/Result11Dec.bin
12,-0.238485,-0.021954,55.664433,U5/pi.bin/Result12Enc.bin,U5/pi.bin/Result12Dec.bin
13,-0.021954,-0.021954,100.000000,U5/pi.bin/Result13Enc.bin,U5/pi.bin/Result13Dec.bin
14,-0.021977,-0.021954,100.000000,U5/pi.bin/Result14Enc.bin,U5/pi.bin/Result14Dec.bin
15,-0.238485,-0.021954,55.664433,U5/pi.bin/Result15Enc.bin,U5/pi.bin/Result15Dec.bin
16,-0.238485,-0.021954,55.664433,U5/pi.bin/Result16Enc.bin,U5/pi.bin/Result16Dec.bin
17,-1.283756,-0.021954,51.617645,U5/pi.bin/Result17Enc.bin,U5/pi.bin/Result17Dec.bin
18,-0.021505,-0.022055,99.999878,U5/pi.bin/Result18Enc.bin,U5/pi.bin/Result18Dec.bin
19,-0.021954,-0.021954,100.000000,U5/pi.bin/Result19Enc.bin,U5/pi.bin/Result19Dec.bin
20,-0.238485,-0.021954,55.664433,U5/pi.bin/Result20Enc.bin,U5/pi.bin/Result20Dec.bin
21,-0.021088,-0.021954,99.999947,U5/pi.bin/Result21Enc.bin,U5/pi.bin/Result21Dec.bin
22,0.306484,-1.036469,45.738457,U5/pi.bin/Result22Enc.bin,U5/pi.bin/Result22Dec.bin
23,-0.830101,-0.021954,27.750937,U5/pi.bin/Result23Enc.bin,U5/pi.bin/Result23Dec.bin
24,-0.021954,-0.021954,100.000000,U5/pi.bin/Result24Enc.bin,U5/pi.bin/Result24Dec.bin
25,-0.604896,-0.021954,21.973343,U5/pi.bin/Result25Enc.bin,U5/pi.bin/Result25Dec.bin
26,1.414842,1.819882,35.773258,U5/pi.bin/Result26Enc.bin,U5/pi.bin/Result26Dec.bin
27,-0.963987,-1.238570,2.898801,U5/pi.bin/Result27Enc.bin,U5/pi.bin/Result27Dec.bin
28,0.651126,-0.021954,72.733444,U5/pi.bin/Result28Enc.bin,U5/pi.bin/Result28Dec.bin
29,-1.283756,-0.021954,51.617645,U5/pi.bin/Result29Enc.bin,U5/pi.bin/Result29Dec.bin
30,-1.183476,0.156578,45.556446,U5/pi.bin/Result30Enc.bin,U5/pi.bin/Result30Dec.bin
31,-0.364843,0.177645,72.460892,U5/pi.bin/Result31Enc.bin,U5/pi.bin/Result31Dec.bin
32,3.849829,-0.021954,34.559097,U5/pi.bin/Result32Enc.bin,U5/pi.bin/Result32Dec.bin
33,-0.527579,-1.341180,63.307182,U5/pi.bin/Result33Enc.bin,U5/pi.bin/Result33Dec.bin
34,-0.021954,-0.021954,100.000000,U5/pi.bin/Result34Enc.bin,U5/pi.bin/Result34Dec.bin
35,-0.345982,-0.005060,93.989922,U5/pi.bin/Result35Enc.bin,U5/pi.bin/Result35Dec.bin
36,-0.021954,-0.021954,100.000000,U5/pi.bin/Result36Enc.bin,U5/pi.bin/Result36Dec.bin
37,-0.631263,-0.021954,19.294416,U5/pi.bin/Result37Enc.bin,U5/pi.bin/Result37Dec.bin
38,0.333459,-2.140993,32.495697,U5/pi.bin/Result38Enc.bin,U5/pi.bin/Result38Dec.bin
39,-0.985384,-0.021954,48.096760,U5/pi.bin/Result39Enc.bin,U5/pi.bin/Result39Dec.bin
40,-0.238485,-0.021954,55.664433,U5/pi.bin/Result40Enc.bin,U5/pi.bin/Result40Dec.bin
41,-2.796956,-0.021954,26.326027,U5/pi.bin/Result41Enc.bin,U5/pi.bin/Result41Dec.bin
42,-0.830101,-0.021954,27.750937,U5/pi.bin/Result42Enc.bin,U5/pi.bin/Result42Dec.bin
43,-0.110060,-0.021954,72.311630,U5/pi.bin/Result43Enc.bin,U5/pi.bin/Result43Dec.bin
44,1.573293,-1.238610,7.639621,U5/pi.bin/Result44Enc.bin,U5/pi.bin/Result44Dec.bin
